Title,URL,Year,Authors
Machine Learning for Healthcare Diagnostics,https://doi.org/10.1007/978-3-030-40850-3_5,2020,K. Kalaiselvi; M. Deepika
Machine Learning in the Cloud,https://doi.org/10.1007/978-1-4842-5772-2_11,2020,Kevin Ashley
Human Health Data Analysis Using Machine Learning,https://doi.org/10.1201/9781774919552-10,2025,Satya Prakash Singh; Rakshita Dung Dung
Application of Machine Learning in the Field of Forensic Medicine,https://doi.org/10.4324/9781003449164-5,2025,Niha Ansari; Vaishali; Divyant Kataria; Yasasvikumar Vala
A Detailed Study on Deep Learning versus Machine Learning Approaches for Pest Classification in Field Crops,https://doi.org/10.1201/9781003409502-1,2023,P. Venkatasaichandrakanth; M. Iyapparaja
Application of Machine Learning in the Field of Forensic Fingerprint Sciences,https://doi.org/10.4324/9781003449164-8,2025,Ashish Badiye; Neeti Kapoor; Muskan Singal
Machine Learning in Sports 101,https://doi.org/10.1007/978-1-4842-5772-2_1,2020,Kevin Ashley
Automating and Consuming Machine Learning,https://doi.org/10.1007/978-1-4842-5772-2_12,2020,Kevin Ashley
Machine Learning for Healthcare: Introduction,https://doi.org/10.1007/978-3-030-40850-3_1,2020,Shiwani Gupta; R. R. Sedamkar
Smart Health: Advancements in Machine Learning and the Internet of Things Solutions,https://doi.org/10.1201/9781003424987-3,2024,Narasimha Rao Vajjhala; Philip Eappen
5. Recent advancement of machine learning and deep learning in the field of healthcare system,https://doi.org/10.1515/9783110648195-005,2020,Yogesh Kumar; Manish Mahajan
Anisotropic Phase Field Fracture: A Machine Learning Perspective,https://doi.org/10.2139/ssrn.4861857,N/A,Tota Rakesh Kumar; Marco Paggi
Intelligent Learning Analytics in Healthcare Sector Using Machine Learning,https://doi.org/10.1007/978-3-030-40850-3_3,2020,Pratiyush Guleria; Manu Sood
Field Scrubbing,https://doi.org/10.1007/978-1-4899-7687-1_100172,2017,N/A
Crop field monitoring and damage assessment with unmanned aircraft systems and machine learning,https://doi.org/10.12681/eadd/52389,N/A,Οδυσσέας Βλαχόπουλος
Hybrid Machine Learning for Scanning Near-Field Optical Spectroscopy,https://doi.org/10.1021/acsphotonics.1c00915.s001,N/A,N/A
FIELD: fast mobility evaluation and environmental index for solid ashes with machine learning,https://doi.org/10.1016/b978-0-443-15524-6.00004-2,2024,Chongchong Qi; Erol Yilmaz; Qiusong Chen
Machine Learning and Statistical Pattern Recognition,https://doi.org/10.1002/9781118443118.ch9,2012,N/A
"Advancement of natural language programming, machine learning and electronic health records for the digital health science field",https://doi.org/10.53730/ijhs.v6ns4.9272,2022,M. Srilakshmi; Nitin Purohit; P. Rajesh; D. Beulah David; Madhavi Rani; Harishchander Anandaram
Application of Machine Learning in the Field of Forensic Biology and Serological Evidence Identification,https://doi.org/10.4324/9781003449164-6,2025,Satish Kumar; Jennifer Johnson
Identifying Diseases and Diagnosis Using Machine Learning,https://doi.org/10.1007/978-3-030-40850-3_16,2020,K. Kalaiselvi; D. Karthika
A Machine Learning-supported Analysis of University Students' Mental Health,https://doi.org/10.38007/ml.2021.020302,2021,N/A
Machine Learning in Healthcare,https://doi.org/10.1201/9780367548445-3,2022,Ananta Charan Ojha; C. Vinitha
Decoding Vascular Age from Brachial Waveform Morphology via Machine Learning and Model-Based Data Augmentation,https://doi.org/10.1088/3049-477x/adf74f,2025,Arian Aghilinejad; Alessio Tamborini; Morteza Gharib
Disease Detection System (DDS) Using Machine Learning Technique,https://doi.org/10.1007/978-3-030-40850-3_6,2020,Sumana De; Baisakhi Chakraborty
Table 3: Health datasets from UCI machine learning repository.,https://doi.org/10.7717/peerj-cs.1806/table-3,N/A,N/A
Towards reproducible and high-impact machine learning in health: an editorial,https://doi.org/10.1088/3049-477x/adeb8d,2025,Jimeng Sun
Machine Learning Enhanced Near-Field Secret Key Generation for Extremely Large-Scale MIMO,https://doi.org/10.1109/icmlcn59089.2024.10624801,2024,Chen Chen; Junqing Zhang
New parametrization and machine learning approaches for efficient oil field management,https://doi.org/10.47749/t/unicamp.2023.1396784,N/A,Daniel Rodrigues dos Santos
A Broad View of the Problem-Based Learning Field Based on Machine Learning: A Large-Scale Study Based on Topic Modeling,https://doi.org/10.31458/iejes.1320491,2023,Özcan ÖZYURT; Alper ASLAN
"Application of Machine Learning to improve the Seismic Characterization inside of Fluvial-Deltaic Reservoir, Zapotal Field, Talara Basin",https://doi.org/10.3997/2214-4609.202084019,2020,V. Cabello Rios
Machine Learning Algorithms,https://doi.org/10.1007/978-1-4842-6537-6_4,2021,Arjun Panesar
Constant-Potential Machine Learning Force Field for the Electrochemical Interface,https://doi.org/10.1021/acs.jctc.5c00784.s001,N/A,N/A
Machine Learning based Health Status Assessment of Super-span Suspension Bridges,https://doi.org/10.38007/ml.2020.010206,2020,N/A
Machine Learning Algorithms,https://doi.org/10.1007/978-1-4842-3799-1_4,2019,Arjun Panesar
Conditional Random Field,https://doi.org/10.1007/978-1-4899-7687-1_155,2017,N/A
Maximum Entropy Model and Conditional Random Field,https://doi.org/10.1007/978-0-387-69942-4_9,N/A,N/A
Markov Random Field,https://doi.org/10.1007/978-1-4899-7687-1_100288,2017,N/A
Machine Learning Methods for Managing Parkinson’s Disease,https://doi.org/10.1007/978-3-030-40850-3_12,2020,Kunjan Vyas; Shubhendu Vyas; Nikunj Rajyaguru
Machine Learning Modeling from Health Care Data,https://doi.org/10.1201/9780429342769-3,2019,Chengliang Yang; Chris Delcher; Elizabeth Shenkman; Sanjay Ranka
Machine learning for health care,https://doi.org/10.1049/pbhe029e_ch13,2020,B. K. Kumar Raju Alluri
PHASE FIELD MODELING OF FRACTURE AND PHASE SEPARATION USING NUMERICAL METHODS AND MACHINE LEARNING,https://doi.org/10.37099/mtu.dc.etdr/1803,N/A,Revanth Mattey
Intelligent Field Operations: Applying Machine Learning to Drive Business Growth,https://doi.org/10.2139/ssrn.5360311,N/A,Sumedha Rai; Matthew Sniff
Decision Science for Machine Learning (DeSciML).,https://doi.org/10.2172/2003940,2022,"Richard Field, Jr; Michael Darling; Justin Doak; James Headen; Mark Smith; Eric Bickel; Jason Boada; Zack Smith"
What Is Machine Learning?,https://doi.org/10.1007/978-1-4842-6537-6_3,2021,Arjun Panesar
Assessing the field of health policy and systems research using symposium abstract submissions and machine learning techniques,https://doi.org/10.1093/heapol/czz086,2019,Erlyn K Macarayan; Dina Balabanova; George Gotsadze
Health system planning and optimisation - advancements in the application of machine learning to policy decisions in global health,https://doi.org/10.1049/pbhe036e_ch2,2022,Oliver Bent
Deep Learning for Mean Field Games and Mean Field Control with Applications to Finance,https://doi.org/10.1017/9781009028943.021,2023,N/A
Role of artificial intelligence and machine learning in women’s health,https://doi.org/10.1016/b978-0-443-21889-7.00006-3,2024,Sapna Rawat; Poonam Joshi; Gulafshan Praveen; Jyoti Saxena
What Is Machine Learning?,https://doi.org/10.1007/978-1-4842-3799-1_3,2019,Arjun Panesar
Machine Learning Fundamentals,https://doi.org/10.1002/9781119817512.ch2,2022,Yan Yan
Machine Learning for Biomedical and Health Informatics,https://doi.org/10.1201/9780429322990-5,2020,Sanjukta Bhattacharya; Chinmay Chakraborty
